Id;SalePrice;MSSubClass;LotArea;OverallQual;OverallCond;YearBuilt
1461;169277.0525;20;11622;5;6;1961
1462;187758.394;20;14267;6;6;1958
1463;183583.6836;60;13830;5;5;1997
1464;179317.4775;60;9978;6;6;1998
1465;150730.08;120;5005;8;5;1992
1466;177150.9892;60;10000;6;5;1993
1467;172070.6592;20;7980;6;7;1992
1468;175110.9565;60;8402;6;5;1998
1469;162011.6988;20;10176;7;5;1990
1470;160726.2478;20;8400;4;5;1970
1471;157933.2795;120;5858;7;5;1999
1472;145291.245;160;1680;6;5;1971
1473;159672.0176;160;1680;5;5;1971
1474;164167.5183;160;2280;6;6;1975
1475;150891.6382;120;2280;7;6;1975
1476;179460.9652;60;12858;9;5;2009
1477;185034.6289;20;12883;8;5;2009
1478;182352.1926;20;11520;9;5;2005
1479;183053.4582;20;14122;8;5;2005
1480;187823.3393;20;14300;9;5;2003
1481;186544.1143;60;13650;8;5;2002
1482;158230.7752;120;7132;8;5;2006
1483;190552.8293;20;18494;6;5;2005
1484;147183.6749;120;3203;7;5;2006
1485;185855.3009;80;13300;7;5;2004
1486;174350.4707;60;8577;7;5;2004
1487;201740.6207;60;17433;8;5;1998
1488;162986.3789;20;8987;8;5;2005
1489;162330.1991;20;9215;7;5;2009
1490;165845.9386;20;10440;6;5;2005
1491;180929.6229;60;11920;7;5;2004
1492;163481.5015;30;9800;5;5;1920
1493;187798.0767;20;15410;6;6;1974
1494;198822.1989;60;13143;8;5;1993
1495;194868.4099;60;11134;8;5;1992
1496;152605.2986;120;4835;7;5;2004
1497;147797.7028;160;3515;7;5;2004
1498;150521.969;160;3215;7;5;2004
1499;146991.6302;160;2544;7;5;2004
1500;150306.3078;160;2544;6;5;2005
1501;151164.3725;160;2980;6;5;2000
1502;151133.707;160;2403;7;5;2003
1503;156214.0425;20;12853;8;5;2010
1504;171992.7607;60;7379;8;5;2000
1505;173214.9125;20;8000;7;5;2002
1506;192429.1873;20;10456;6;6;1967
1507;190878.6951;60;10791;6;5;1993
1508;194542.5441;50;18837;6;5;1978
1509;191849.4391;60;9600;6;6;1971
1510;176363.7739;20;9600;5;5;1966
1511;176954.1854;20;9900;5;5;1966
1512;176521.217;20;9680;5;6;1967
1513;179436.7048;80;10600;6;5;1964
1514;220079.7568;90;13260;5;6;1962
1515;175502.9181;50;9724;5;7;1952
1516;188321.0738;50;17360;6;6;1949
1517;163276.3245;85;11380;6;8;1966
1518;185911.3663;90;8267;5;5;1958
1519;171392.831;20;8197;7;5;2003
1520;174418.207;20;8050;5;5;1959
1521;179682.7096;20;10725;5;5;1959
1522;179423.7516;20;10032;6;5;1959
1523;171756.9181;50;8382;4;5;1956
1524;166849.6382;20;10950;5;7;1952
1525;181122.1687;20;10895;5;6;1955
1526;170934.4627;190;13587;5;5;1958
1527;159738.2926;30;7898;4;7;1920
1528;174445.7596;50;8064;6;8;1948
1529;174706.3637;20;7635;5;6;1960
1530;164507.6725;20;9760;6;7;1963
1531;163602.5122;50;4800;4;5;1900
1532;154126.2702;30;4485;5;7;1920
1533;171104.8535;20;5805;5;7;1957
1534;167735.3927;45;6900;6;7;1938
1535;183003.6133;50;11851;5;7;1948
1536;172580.3812;50;8239;5;6;1920
1537;165407.8891;30;9656;2;2;1923
1538;176363.7739;70;9600;8;9;1900
1539;175182.9509;70;9000;8;9;1890
1540;190757.1778;190;9045;5;3;1910
1541;167186.9958;70;10560;6;7;1922
1542;167839.3768;50;5830;5;6;1950
1543;173912.4212;75;7793;7;7;1922
1544;154034.9174;30;5000;4;7;1925
1545;156002.9558;50;6000;6;7;1939
1546;168173.9433;50;6000;6;6;1940
1547;168882.4371;50;6360;5;6;1942
1548;168173.9433;50;6000;6;7;1948
1549;157580.1776;50;6240;5;7;1936
1550;181922.1526;50;6240;5;5;1930
1551;155134.2278;30;6120;6;5;1923
1552;188885.5733;50;8094;4;5;1915
1553;183963.193;70;12900;6;8;1912
1554;161298.7623;70;3068;6;8;1920
1555;188613.6676;20;15263;5;5;1959
1556;175080.1118;50;10632;5;3;1917
1557;174744.4003;190;9900;5;4;1915
1558;168175.9113;50;6001;6;5;1940
1559;182333.4726;70;6449;4;1;1907
1560;158307.2067;190;6048;5;7;1910
1561;193053.0555;90;10773;4;3;1967
1562;175031.09;20;7800;5;7;1966
1563;160713.2946;20;7832;5;5;1968
1564;173186.215;90;7424;5;5;1978
1565;191736.7598;60;11227;5;5;1968
1566;170401.631;20;20062;7;7;1977
1567;164626.5779;30;9259;4;4;1927
1568;205469.4094;60;17082;6;5;1978
1569;209561.7842;50;18600;3;4;1938
1570;182271.5031;20;11479;6;7;1950
1571;178081.5494;50;9350;4;6;1947
1572;178425.9561;20;9525;5;7;1954
1573;162015.3185;20;17485;7;5;2009
1574;181722.4204;20;11200;5;3;1964
1575;156705.7302;20;11980;7;5;1987
1576;182902.4203;60;12361;6;7;1993
1577;157574.5954;20;7360;7;5;2010
1578;184380.7391;50;14235;6;8;1900
1579;169364.4692;85;11105;5;5;1996
1580;175846.1798;60;9337;7;5;1997
1581;189673.2953;20;15240;5;8;1977
1582;174401.3177;20;7480;5;6;1972
1583;179021.4487;20;10389;8;5;2003
1584;189196.8453;60;9375;7;5;1997
1585;139647.0957;120;4435;6;5;2003
1586;161468.1983;30;8777;3;6;1945
1587;171557.3232;20;8842;5;6;1954
1588;179447.368;20;10044;5;6;1968
1589;169611.619;50;11792;4;5;1948
1590;172088.8727;80;6305;6;6;1975
1591;171190.6241;20;6410;4;5;1958
1592;154850.5084;30;4853;5;6;1924
1593;158617.6557;30;7890;6;6;1939
1594;209258.3369;90;7200;4;6;1967
1595;177939.0276;50;9839;5;2;1931
1596;194631.1003;50;10452;7;6;1941
1597;213618.8716;90;15600;5;6;1950
1598;198342.5042;80;19645;7;6;1994
1599;138607.9715;120;3907;8;6;1989
1600;150778.959;120;3907;8;5;1989
1601;146966.2303;30;8154;2;5;1941
1602;162182.5962;50;9140;6;5;1921
1603;176825.941;30;8712;4;7;1896
1604;152799.8124;120;3811;8;5;2004
1605;180322.3221;60;11050;8;5;1998
1606;177508.0272;80;9620;6;7;1977
1607;208029.6427;90;12760;6;5;1976
1608;181987.2825;20;11896;7;5;2008
1609;160172.728;20;9803;7;5;2009
1610;176761.3177;60;9802;5;5;2006
1611;176515.4975;20;15300;5;5;1965
1612;176270.4531;20;10114;5;5;2004
1613;183050.8463;20;11875;5;5;1999
1614;150011.1021;120;2394;5;6;1973
1615;159270.5378;160;1476;4;7;1970
1616;163419.6637;160;1900;4;4;1970
1617;163399.9833;160;1890;4;6;1972
1618;173364.1615;20;6953;5;7;1971
1619;169556.8359;20;12887;5;7;1984
1620;183690.596;90;7700;5;2;1985
1621;176980.9149;60;10475;5;5;1991
1622;204773.3622;50;10544;5;5;1969
1623;174728.656;20;9892;8;5;1994
1624;181873.4582;60;12961;6;5;1993
1625;177322.0008;20;13008;6;5;1956
1626;193927.939;20;10200;6;5;1974
1627;181715.6227;60;10179;6;5;1997
1628;199270.8412;60;11792;8;5;2003
1629;177109.59;80;8400;7;5;1996
1630;153909.5783;120;7296;8;5;2004
1631;162931.2033;120;7380;8;5;1998
1632;166386.7567;120;8013;8;5;1995
1633;173719.3038;80;8923;7;5;1998
1634;179757.9257;60;7500;6;5;1998
1635;179007.602;60;8803;6;5;1994
1636;180370.8086;20;7250;6;5;1993
1637;185102.6167;60;11900;5;6;1977
1638;198825.5635;60;13250;7;6;1978
1639;184294.576;20;10928;6;6;1978
1640;200443.7921;60;12388;7;7;1980
1641;181294.7845;20;11088;6;5;1978
1642;174354.3363;60;7000;7;5;2003
1643;172023.6778;60;7500;8;5;2000
1644;181666.9229;60;8470;8;5;2002
1645;179024.4913;20;9373;5;7;1975
1646;178324.1916;20;10140;6;6;1974
1647;184534.6767;20;11050;7;5;1975
1648;159397.2504;20;7830;5;5;1970
1649;178430.9667;20;8510;5;7;1971
1650;177743.7994;20;7038;4;6;1970
1651;179395.3055;20;9000;4;7;1971
1652;151713.3847;160;1680;6;5;1973
1653;151713.3847;160;1680;6;6;1972
1654;168434.978;160;2308;6;5;1976
1655;153999.1003;120;2280;7;5;1975
1656;164096.0974;160;2349;6;5;1977
1657;166335.403;160;2364;6;5;1978
1658;163020.7254;160;2364;6;5;1978
1659;155862.5107;120;2104;7;6;1976
1660;182760.6511;20;10710;5;7;1966
1661;201912.2706;60;14257;9;5;2007
1662;185988.234;60;12350;9;5;2009
1663;183778.4489;20;12350;9;5;2008
1664;170935.8592;20;13693;10;5;2007
1665;184468.9084;20;11578;9;5;2008
1666;191569.0897;20;16870;8;5;2004
1667;232991.0256;60;23303;8;5;2007
1668;180980.7214;20;10367;9;5;2008
1669;164279.1305;20;10872;9;5;2006
1670;183859.4604;20;13514;9;5;2008
1671;185922.4657;20;12878;7;5;2003
1672;191742.7781;20;15274;9;5;2003
1673;199954.0725;60;13262;8;5;2003
1674;180690.2748;20;9658;8;5;2006
1675;163099.3096;120;6904;6;5;2005
1676;140791.9225;120;5122;6;5;2005
1677;166481.8665;120;10307;7;5;2007
1678;172080.4345;20;14836;10;5;2004
1679;191719.1617;20;15262;8;5;2003
1680;160741.0986;120;7390;9;5;2008
1681;157829.5469;120;6472;9;5;2008
1682;196896.7486;20;16770;8;5;2002
1683;159675.424;120;3480;7;5;2003
1684;182084.7909;60;10928;7;5;2005
1685;179233.9264;60;8918;6;5;2005
1686;155774.2709;120;3182;7;5;2005
1687;181354.3267;80;9434;7;5;2004
1688;179605.5637;60;7984;7;5;2004
1689;181609.3487;60;10125;7;5;2004
1690;178221.5316;60;8965;7;5;2003
1691;175559.9207;60;8174;7;5;2003
1692;200328.8228;60;12891;8;5;2002
1693;178630.0606;80;9734;7;5;2004
1694;177174.5352;60;8433;6;5;2000
1695;172515.6874;80;7750;7;5;1999
1696;204032.9929;60;15896;7;5;1999
1697;176023.2328;80;7848;7;6;1999
1698;202202.0733;60;12720;8;5;2000
1699;181734.4801;20;10750;8;5;1994
1700;183982.159;60;9085;7;5;1995
1701;188007.9424;60;11692;8;5;1993
1702;185922.9668;20;11194;8;5;2008
1703;183978.5449;20;10206;8;5;2008
1704;177199.6186;20;10130;8;5;2007
1705;181878.648;20;9139;8;5;2006
1706;173622.0887;20;11128;9;5;2005
1707;180728.1686;20;7993;7;5;2008
1708;176477.0266;20;8640;7;5;2008
1709;184282.2667;20;12606;9;5;2007
1710;162062.4754;20;7500;8;5;2006
1711;182550.071;60;10603;8;5;2006
1712;180987.9496;20;8125;8;5;2008
1713;178173.7976;20;10625;7;5;2006
1714;179980.6359;20;8736;7;5;2003
1715;173257.6378;60;8127;7;5;2003
1716;177271.2911;20;9605;7;6;2007
1717;175338.3554;20;7500;7;5;2006
1718;177548.1405;20;7500;6;5;2004
1719;175969.9166;60;10628;7;5;2004
1720;175011.482;20;10141;8;5;2004
1721;185199.3726;20;13072;7;5;2004
1722;188514.0502;20;13072;5;5;2004
1723;185080.1453;20;12450;5;5;2003
1724;157304.4026;20;7328;7;5;2008
1725;194260.8595;60;11492;7;5;1996
1726;181262.33;60;7703;6;6;1992
1727;157003.2927;120;7175;6;5;1990
1728;182924.4994;60;9109;7;5;1994
1729;181902.5864;60;10274;6;7;1986
1730;188985.3717;90;8250;6;7;1981
1731;185290.9045;20;9750;5;5;1962
1732;177304.4258;20;8499;5;6;1961
1733;166274.9005;20;9079;5;5;1961
1734;177807.4205;20;9316;5;5;1965
1735;180330.6248;20;7791;5;8;1963
1736;179069.1122;20;7150;5;6;1962
1737;175943.3718;20;15676;8;8;1980
1738;185199.0506;60;11949;7;8;1991
1739;167350.9108;160;2880;7;5;2004
1740;149315.3119;120;3830;6;5;2008
1741;139010.8478;120;4217;6;5;2008
1742;155412.1518;160;2998;6;5;2000
1743;171308.314;160;3768;7;5;1999
1744;176220.5433;20;14694;8;9;1977
1745;177643.435;20;15417;7;5;1981
1746;187222.6533;80;9600;8;5;1976
1747;185635.1321;60;12732;7;6;1974
1748;206492.5342;60;10400;6;7;1967
1749;181681.0211;20;9600;5;5;1969
1750;180500.1981;20;9000;6;5;1969
1751;206486.1709;60;13774;7;7;1977
1752;161334.3012;20;7130;5;6;1967
1753;176156.5583;20;9600;5;5;1967
1754;191642.2235;60;9600;7;5;1974
1755;191945.808;85;16500;6;5;1971
1756;164146.306;20;7436;4;7;1960
1757;179883.0571;20;8125;5;7;1959
1758;178071.1377;20;9450;4;5;1957
1759;188241.6379;20;13495;5;6;1956
1760;174559.6562;20;9350;5;6;1961
1761;182347.363;20;10500;5;5;1964
1762;191507.2519;60;8970;5;6;1965
1763;199751.8656;80;11475;6;6;1961
1764;162106.4161;20;9768;5;5;1955
1765;164575.9823;20;9900;6;5;1967
1766;179176.3522;20;10573;6;6;1961
1767;177327.4039;20;14695;6;8;1966
1768;177818.0838;20;8760;5;7;1956
1769;186965.204;20;12285;7;6;1960
1770;178762.7422;20;9240;6;8;1959
1771;183322.8661;20;8750;5;5;1956
1772;178903.2959;20;8750;5;5;1955
1773;186570.1294;20;10400;4;5;1956
1774;199144.2428;90;9482;5;4;1958
1775;172154.7133;20;8128;6;7;1954
1776;177444.0192;20;13070;5;5;1951
1777;166200.9381;30;8480;5;6;1945
1778;158995.7706;20;7626;5;8;1952
1779;168273.2825;20;9533;5;5;1953
1780;189680.4531;60;11419;7;7;1948
1781;181681.0211;20;9600;5;6;1950
1782;160277.1426;20;5470;3;5;1958
1783;197318.5472;60;10800;5;7;1939
1784;162228.9356;70;8146;4;8;1900
1785;187340.4555;30;10230;5;7;1925
1786;181065.347;50;10410;4;5;1915
1787;190233.6091;70;7200;7;9;1910
1788;157929.5949;30;5400;2;5;1940
1789;168557.0019;30;10800;5;7;1920
1790;160805.5846;30;10800;3;5;1890
1791;221648.392;90;9671;6;5;1969
1792;180539.8808;20;10143;6;7;1963
1793;182105.6163;20;11500;6;4;1967
1794;166380.8526;20;8010;6;9;1958
1795;178942.1556;20;10454;6;6;1957
1796;162804.7478;20;9000;6;6;1958
1797;183077.6844;50;8064;6;5;1950
1798;171728.472;20;7350;5;6;1958
1799;164786.7415;20;7200;5;7;1952
1800;177427.2672;80;8000;5;5;1959
1801;197318.5472;50;10800;4;7;1949
1802;178658.1142;50;8064;6;7;1948
1803;185437.3205;60;7570;6;5;1964
1804;169759.6525;90;8604;5;7;1978
1805;173986.6351;20;7936;6;6;1963
1806;168607.6643;50;4080;6;8;1935
1807;194138.5191;90;10307;6;5;1910
1808;192502.4409;50;15660;5;8;1910
1809;176746.9698;70;9900;5;8;1910
1810;177604.8917;70;6406;5;6;1939
1811;193283.7466;190;7627;4;6;1920
1812;181627.061;50;10134;5;5;1910
1813;169071.6203;50;6000;5;7;1950
1814;167398.0065;30;7404;4;6;1920
1815;150106.5051;30;5925;2;4;1940
1816;159650.3043;30;8520;5;8;1923
1817;179471.236;70;9600;4;4;1910
1818;177109.59;70;8400;6;7;1900
1819;166558.1133;70;3600;6;7;1917
1820;153796.7143;30;3300;4;3;1910
1821;174520.1526;50;5400;6;6;1920
1822;196297.9583;70;9720;6;7;1910
1823;169100.6816;30;9392;3;3;1900
1824;176911.3192;30;6615;6;6;1923
1825;169234.6455;70;4960;5;7;1930
1826;172386.2979;50;6000;5;5;1924
1827;156031.9048;30;6120;5;6;1925
1828;168202.8923;50;6120;5;6;1938
1829;166505.984;30;8635;5;5;1925
1830;176507.3702;70;8094;6;6;1915
1831;180116.7526;70;9928;7;8;1915
1832;183072.7406;90;3000;5;1;1922
1833;189595.9647;70;6876;6;5;1927
1834;167523.9191;70;5775;6;7;1915
1835;210817.7759;190;5852;7;5;1902
1836;172942.9308;50;5160;6;6;1927
1837;145286.2781;85;5160;4;6;1923
1838;176468.6534;190;10320;6;7;1915
1839;159040.0696;20;4280;4;9;1946
1840;178518.2043;90;10800;5;5;1987
1841;169163.9808;90;10547;5;5;1978
1842;189786.6853;50;9780;5;3;1934
1843;181246.7285;20;11625;5;6;1967
1844;176349.9272;85;8014;6;5;1978
1845;205266.631;80;15400;5;5;1961
1846;187397.9934;80;15312;6;5;1960
1847;208943.4277;80;15584;5;5;1956
1848;165014.5329;20;9000;2;2;1947
1849;182492.0376;20;15635;4;5;1954
1850;161718.7126;20;9571;5;5;1956
1851;180084.1189;60;9350;6;7;1946
1852;178534.9508;20;7440;5;6;1954
1853;151217.26;120;4235;5;5;1984
1854;156342.7176;80;10778;7;6;1990
1855;188511.4438;80;19255;6;5;1983
1856;183570.3379;60;10560;7;5;1993
1857;225810.1603;70;26400;5;7;1880
1858;214217.4011;90;7018;5;5;1979
1859;187665.641;90;7018;5;5;1979
1860;161157.1777;90;7040;5;5;1979
1861;187643.9926;90;7007;5;5;1979
1862;228156.3728;90;11855;7;5;2000
1863;220449.5347;90;7939;7;5;2000
1864;220522.3521;90;7976;7;5;2000
1865;156647.7635;20;10933;9;5;2009
1866;187388.8334;20;10816;9;5;2008
1867;178640.7238;20;9178;8;5;2008
1868;180847.2167;20;11422;8;5;2007
1869;159505.1705;20;6762;7;5;2007
1870;164305.538;20;10324;8;5;2008
1871;180181.1967;20;11645;8;5;2005
1872;184602.735;60;11646;6;5;2005
1873;193440.3722;60;16698;7;5;1992
1874;184199.7882;20;9757;5;7;1994
1875;196241.8929;20;14753;7;5;1998
1876;175588.6183;60;8750;6;5;1998
1877;179503.0465;20;10739;7;5;2002
1878;183658.0766;20;11166;7;5;2001
1879;193700.9763;20;16269;5;5;1978
1880;165399.6245;20;6950;5;7;1979
1881;186847.9448;20;11664;7;5;2002
1882;198127.7329;60;12334;8;5;2003
1883;183320.8981;60;8749;7;5;2002
1884;181613.6067;60;11250;7;5;2001
1885;178298.7918;20;15750;8;5;1999
1886;185733.534;20;12782;8;5;2002
1887;180008.1885;20;8750;7;5;1997
1888;175127.5962;20;10200;8;5;2007
1889;183467.1769;60;11069;6;5;2007
1890;182705.546;20;10682;4;6;1960
1891;152324.9436;180;3675;6;5;2005
1892;169878.516;20;6410;4;5;1959
1893;183735.9751;20;11767;5;5;1950
1894;224118.2801;90;10926;5;5;1959
1895;169355.2025;20;11767;5;5;1956
1896;180054.2764;50;8212;5;6;1941
1897;174081.602;50;6300;5;4;1938
1898;168494.985;70;5707;6;6;1935
1899;181871.5988;30;8574;6;8;1916
1900;173554.4897;70;7155;7;8;1918
1901;169805.3822;50;13680;5;6;1940
1902;176192.9907;20;14680;5;4;1960
1903;204264.3928;90;8145;7;6;1940
1904;169630.907;20;9100;5;6;1954
1905;185724.8388;20;13339;6;6;1960
1906;195699.0363;50;15600;5;7;1949
1907;189494.2762;20;17500;6;5;1954
1908;149607.9057;160;1733;6;6;1980
1909;154650.199;160;1488;6;6;1980
1910;151579.5581;160;1612;6;6;1980
1911;185147.3805;80;13607;6;6;1986
1912;196314.5312;20;17597;7;9;1971
1913;210802.3954;70;8660;5;6;1900
1914;166271.2864;30;10200;4;6;1925
1915;154865.3591;120;3843;8;5;2007
1916;173575.5053;30;21780;2;4;1910
1917;179399.5636;60;10125;8;5;2000
1918;164280.7766;85;9750;6;6;1977
1919;171247.4895;85;9360;6;7;1977
1920;166878.5872;20;11070;5;5;1991
1921;188129.4597;20;13438;9;5;2008
1922;183517.3437;20;14463;9;5;2008
1923;175522.0269;60;9839;6;8;1980
1924;190060.1053;80;14419;7;5;1987
1925;174179.8248;60;9157;7;5;2003
1926;171059.5237;20;12633;9;5;2007
1927;183004.1868;20;12518;5;7;1968
1928;183601.6474;20;13383;5;5;1969
1929;163539.3272;85;7689;5;8;1972
1930;164677.6764;80;7706;6;5;1993
1931;162395.0739;85;7669;5;6;1992
1932;182207.6323;60;10429;5;5;1992
1933;192223.9398;60;10457;5;7;1969
1934;176391.8294;60;8702;6;5;1997
1935;181913.1791;60;8139;6;5;1995
1936;179136.0979;60;9535;6;5;1998
1937;196595.5682;60;15038;6;5;1996
1938;194822.3657;20;14137;5;5;1996
1939;148356.6694;120;6264;8;5;1997
1940;160387.6043;120;5070;8;5;1992
1941;181276.5006;60;11184;6;5;1998
1942;192474.8179;60;14067;6;5;1991
1943;157699.9078;120;5950;8;5;1989
1944;215785.5408;60;13543;8;5;2005
1945;181824.301;20;15401;9;5;2004
